Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.05,-.02,-.13,-.25,-.17,.06,-.06,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.03,-.05,-.01,.00,.09,.00,-.01,-.03,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.04,-.16,-.05,.00,-.05,.03,-.01,-.07,-.01,.00,.07,.00,-.07,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.03,-.09,-.06,-.11,-.06,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.07,-.21,-.19,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.20,-.13,-.11,-.10,-.24,-.25,-.19,-.33,-.33,-.15
1886,-.14,-.20,-.17,-.20,-.15,-.32,-.22,-.19,-.15,-.24,-.15,-.29,-.20,-.19,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.12,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.05,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.33,-.35,-.43,-.33,-.32,-.39,-.38,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.29,-.23,-.22,-.23,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.22,-.23,-.38,-.25,-.21,-.13,-.01,-.03,-.12,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.12,-.24,-.23,-.32,-.14,-.16,-.17,-.09,-.04,-.07,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.15,-.19,-.25,-.37,-.38,-.41,-.28,-.23,-.25,-.19,-.06,-.10,-.24,-.23,-.13,-.33,-.31,-.17
1895,-.15,-.06,-.18,-.26,-.26,-.22,-.17,-.09,-.18,-.12,-.20,-.05,-.16,-.16,-.10,-.23,-.16,-.16
1896,-.08,-.07,-.03,-.01,-.15,-.29,-.05,.01,-.02,.09,.12,.13,-.03,-.04,-.07,-.06,-.11,.06
1897,.10,.07,.12,.00,-.16,-.16,-.08,-.11,-.10,-.10,-.09,-.12,-.05,-.03,.10,-.01,-.12,-.10
1898,-.09,-.15,-.23,-.34,-.33,-.29,-.32,-.36,-.25,-.31,-.25,-.20,-.26,-.25,-.12,-.30,-.32,-.27
1899,-.20,-.13,-.14,-.18,-.22,-.28,-.16,-.10,-.05,-.11,-.08,-.05,-.14,-.16,-.17,-.18,-.18,-.08
1900,-.10,.03,-.04,-.08,-.13,-.09,-.13,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.11,-.12,-.15,-.16,-.19,-.24,-.29,-.24,-.17,-.27,-.14,-.15,-.19,-.18,-.11,-.16,-.26,-.19
1902,-.19,-.15,-.17,-.18,-.25,-.23,-.22,-.31,-.24,-.27,-.25,-.22,-.22,-.22,-.16,-.20,-.25,-.25
1903,-.24,-.22,-.29,-.35,-.36,-.39,-.27,-.36,-.50,-.47,-.43,-.46,-.36,-.34,-.23,-.34,-.34,-.47
1904,-.51,-.56,-.56,-.52,-.60,-.48,-.43,-.44,-.49,-.38,-.26,-.31,-.46,-.47,-.51,-.56,-.45,-.37
1905,-.27,-.35,-.20,-.21,-.29,-.27,-.30,-.16,-.17,-.21,-.20,-.07,-.23,-.25,-.31,-.23,-.24,-.19
1906,.02,-.04,-.16,-.14,-.27,-.27,-.18,-.22,-.32,-.23,-.35,-.33,-.21,-.19,-.03,-.19,-.23,-.30
1907,-.27,-.29,-.24,-.28,-.33,-.32,-.29,-.29,-.28,-.25,-.36,-.35,-.30,-.29,-.30,-.28,-.30,-.29
1908,-.34,-.37,-.39,-.40,-.46,-.46,-.34,-.35,-.41,-.43,-.40,-.43,-.40,-.39,-.35,-.42,-.38,-.41
1909,-.50,-.46,-.41,-.52,-.59,-.51,-.45,-.32,-.41,-.45,-.52,-.55,-.47,-.46,-.46,-.51,-.43,-.46
1910,-.49,-.45,-.52,-.44,-.38,-.32,-.31,-.33,-.35,-.51,-.53,-.52,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.53,-.56,-.57,-.61,-.58,-.66,-.46,-.44,-.43,-.33,-.21,-.10,-.46,-.49,-.54,-.59,-.52,-.32
1912,-.14,-.11,-.14,-.18,-.28,-.32,-.31,-.30,-.34,-.29,-.25,-.29,-.25,-.23,-.12,-.20,-.31,-.29
1913,-.24,-.24,-.38,-.28,-.32,-.40,-.20,-.20,-.26,-.24,-.23,-.14,-.26,-.27,-.26,-.33,-.26,-.24
1914,-.07,-.08,-.11,-.19,-.22,-.28,-.12,-.05,-.03,-.04,-.07,-.01,-.11,-.12,-.10,-.18,-.15,-.04
1915,-.13,.03,.05,.06,-.09,-.29,-.13,-.27,-.19,-.21,-.22,-.18,-.13,-.12,-.04,.01,-.23,-.21
1916,-.15,-.12,-.17,-.27,-.33,-.48,-.40,-.20,-.24,-.32,-.48,-.51,-.31,-.28,-.15,-.26,-.36,-.34
1917,-.63,-.59,-.53,-.47,-.38,-.39,-.19,-.06,-.16,-.27,-.36,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.24,-.25,-.30,-.37,-.28,-.29,-.27,-.09,-.06,.02,.00,-.20,-.22,-.26,-.31,-.28,-.04
1919,.00,-.05,-.02,-.01,-.13,-.32,-.25,-.37,-.31,-.31,-.34,-.28,-.20,-.18,-.02,-.06,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.45,-.34,-.21,-.08,-.13,-.08,-.20,-.24,-.25,-.28,-.28,-.33,-.10
1921,-.28,-.27,-.36,-.44,-.35,-.38,-.26,-.22,-.19,-.05,-.17,-.21,-.26,-.26,-.25,-.38,-.29,-.13
1922,-.28,-.25,-.19,-.30,-.47,-.46,-.28,-.30,-.29,-.33,-.17,-.24,-.30,-.29,-.25,-.32,-.34,-.26
1923,-.37,-.32,-.29,-.29,-.28,-.34,-.32,-.38,-.44,-.32,-.19,-.17,-.31,-.31,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.33,-.35,-.46,-.42,-.47,-.52,-.51,-.36,-.33,-.19,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.35,-.36,-.39,-.27,-.20,-.33,-.24,-.11,-.08,-.30,-.33,-.48,-.35,-.29,-.23
1926,-.11,-.12,-.14,-.11,-.22,-.30,-.34,-.19,-.24,-.28,-.28,-.28,-.22,-.20,-.10,-.16,-.28,-.27
1927,-.25,-.27,-.30,-.34,-.38,-.40,-.29,-.31,-.28,-.25,-.19,-.26,-.29,-.30,-.27,-.34,-.34,-.24
1928,-.29,-.26,-.26,-.23,-.42,-.44,-.28,-.26,-.26,-.29,-.22,-.29,-.29,-.29,-.27,-.30,-.33,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.44,-.30,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.46,-.34,-.33,-.33,-.28,-.32,-.37,-.29,-.27,-.23,-.07,-.17,-.29,-.31,-.40,-.31,-.33,-.19
1931,-.18,-.15,-.12,-.22,-.22,-.29,-.13,-.16,-.29,-.24,-.36,-.19,-.21,-.21,-.17,-.19,-.19,-.30
1932,-.08,-.15,-.15,-.21,-.24,-.41,-.33,-.35,-.30,-.30,-.21,-.30,-.25,-.24,-.14,-.20,-.36,-.27
1933,-.26,-.27,-.26,-.31,-.31,-.36,-.29,-.33,-.31,-.32,-.37,-.35,-.31,-.31,-.28,-.30,-.33,-.34
1934,-.29,-.39,-.32,-.33,-.27,-.27,-.17,-.15,-.16,-.25,-.20,-.22,-.25,-.26,-.34,-.30,-.20,-.20
1935,-.26,-.29,-.31,-.38,-.28,-.38,-.37,-.36,-.34,-.21,-.18,-.16,-.29,-.30,-.26,-.32,-.37,-.24
1936,-.25,-.23,-.29,-.33,-.30,-.47,-.27,-.28,-.24,-.12,-.11,-.17,-.25,-.25,-.21,-.31,-.34,-.16
1937,-.23,-.18,-.17,-.25,-.22,-.23,-.20,-.11,-.10,-.15,-.06,-.13,-.17,-.17,-.19,-.21,-.18,-.10
1938,-.18,-.21,-.15,-.20,-.22,-.28,-.18,-.21,-.15,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.12
1939,-.14,-.13,-.12,-.13,-.10,-.14,-.15,-.18,-.26,-.15,-.10,.10,-.12,-.14,-.13,-.11,-.16,-.17
1940,.12,.03,.16,.08,.07,.07,.10,.09,.07,-.03,.06,.30,.09,.08,.08,.11,.09,.03
1941,.21,.17,.10,.23,.14,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.16,.14,.16
1942,.19,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.08,-.04,.01,.03,.20,.09,.00,-.16
1943,.07,-.05,-.08,-.10,-.10,-.04,.19,-.08,-.03,.00,.03,.09,-.01,-.02,.00,-.09,.02,.00
1944,.09,.05,.21,.21,.15,.17,.24,.22,.21,.09,.04,.09,.15,.15,.08,.19,.21,.11
1945,.10,.08,.04,.10,.04,-.05,.03,.25,.22,.14,.08,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.02,-.08,-.20,-.16,-.37,-.20,-.31,-.12,-.17,-.17,-.15,-.16,-.14,.01,-.15,-.29,-.15
1947,-.07,-.11,-.16,-.10,-.09,-.03,-.05,-.09,-.23,-.26,-.14,-.21,-.13,-.12,-.11,-.11,-.05,-.21
1948,-.17,-.14,-.21,-.20,-.17,-.15,-.23,-.25,-.26,-.18,-.27,-.08,-.19,-.20,-.17,-.19,-.21,-.24
1949,-.09,-.19,-.08,-.19,-.20,-.34,-.15,-.21,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.23,-.21
1950,-.23,-.26,-.21,-.20,-.18,-.05,.00,-.12,-.15,-.35,-.34,-.31,-.20,-.19,-.24,-.20,-.06,-.28
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.09,-.10,-.21,-.11,-.08,-.06,-.18,-.20,-.32,-.25,-.10,-.13
1952,.07,.06,.07,-.10,-.19,-.22,-.05,.02,.00,.01,-.05,-.03,-.03,-.03,.03,-.07,-.08,-.01
1953,-.08,-.07,-.02,-.01,-.01,-.01,-.18,-.07,-.08,-.10,-.12,-.11,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.12,-.27,-.33,-.34,-.28,-.34,-.29,-.18,-.20,-.26,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.19,-.22,-.22,-.29,-.19,-.19,-.05,-.21,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.21
1956,-.22,-.17,-.19,-.30,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.00,.09,.23,.19,-.06,.14,.05,-.03,.04,.07,.06,.05,-.03,.11,.09,.02
1958,.09,.16,.02,.01,.00,-.20,.06,-.22,-.11,.01,.02,-.15,-.03,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.03,.09,.05,-.07,.02,-.11,-.25,-.10,-.18,-.10,-.06,-.06,-.08,.06,-.05,-.17
1960,-.15,-.15,-.29,-.17,-.19,-.25,-.16,-.07,.02,.06,-.14,-.02,-.13,-.13,-.13,-.21,-.16,-.02
1961,-.03,.08,-.04,.12,.17,.05,-.05,-.04,.19,.04,-.01,-.15,.03,.04,.01,.09,-.01,.07
1962,-.17,-.07,-.09,-.13,-.15,.19,-.06,-.06,.03,-.10,.00,-.15,-.06,-.06,-.13,-.12,.02,-.02
1963,-.14,-.14,-.16,-.18,-.07,.13,.02,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,.00
1964,-.13,-.17,-.10,-.33,-.40,.01,.04,-.21,-.31,-.32,-.21,-.33,-.20,-.18,-.13,-.27,-.05,-.28
1965,-.14,.02,-.16,-.12,-.10,.04,-.08,.12,-.09,-.08,-.15,-.07,-.07,-.09,-.15,-.13,.03,-.11
1966,-.13,-.12,.07,-.04,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.11,-.05,-.10,-.13
1967,.03,-.04,-.14,-.15,.04,-.10,-.01,-.05,-.09,-.12,-.14,-.13,-.08,-.07,-.01,-.08,-.05,-.12
1968,-.21,-.13,-.05,-.12,-.23,-.14,-.17,-.09,-.32,.18,.12,.05,-.09,-.11,-.16,-.13,-.13,.00
1969,.22,.11,.22,.31,.26,.11,-.13,.03,.13,.17,.10,.18,.14,.13,.13,.26,.01,.13
1970,.20,.17,.19,.13,-.06,-.06,.07,-.15,.27,.24,.02,.05,.09,.10,.18,.09,-.05,.18
1971,.09,-.11,-.08,.06,.01,-.20,-.03,.13,.02,.06,-.13,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.10,.17,.04,.12,.09,.18,.08,.40,.30,.21,.25,.41,.20,.16,.07,.08,.22,.25
1973,.43,.21,.26,.36,.36,.21,.21,.08,.25,.26,.17,-.10,.23,.27,.35,.33,.17,.23
1974,.05,-.19,-.14,-.14,.11,.08,.06,.31,.00,.10,.05,.10,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.05,.05,-.20,.02,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.12,-.17,-.16,-.05,.07,-.03,-.01,.04,.20,.47,.01,-.04,-.09,-.15,.00,.08
1977,.52,.34,.22,.27,.42,.31,.32,.33,-.08,.09,.06,.04,.24,.27,.44,.31,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.16,-.12,.12,.06,.11,.13,.11,.11,.06,.22,.05,.10
1979,.22,.16,.20,.47,.06,.20,.03,.30,.31,.29,.33,.41,.25,.22,.17,.25,.17,.31
1980,.38,.38,.52,.46,.44,.22,.31,.28,.30,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.25,.21,.28,.25,.31,.30,.54,.53,.16,.02,.11,.28,.27,.27,.27,.28,.45,.10
1982,.24,.14,.01,.13,.26,.11,.25,.15,.22,.27,.47,.47,.23,.21,.22,.13,.17,.32
1983,.51,.51,.41,.49,.62,.35,.17,.46,.49,.22,.12,.22,.38,.40,.50,.51,.33,.27
1984,.28,.26,.34,.19,.42,-.04,.29,.33,.45,.19,.24,.33,.27,.27,.26,.32,.19,.29
1985,.36,.22,.35,.27,.20,.29,.15,.34,.23,.21,.08,.12,.23,.25,.31,.27,.26,.17
1986,.16,.42,.34,.30,.23,.11,.24,.27,.09,.22,.17,.20,.23,.22,.23,.29,.21,.16
1987,.39,.36,.37,.42,.29,.53,.56,.24,.33,.44,.49,.43,.40,.39,.32,.36,.45,.42
1988,.54,.43,.56,.41,.45,.40,.24,.52,.46,.52,.19,.14,.40,.43,.47,.47,.38,.39
1989,.16,.20,.25,.26,.12,.10,.36,.40,.45,.33,.28,.40,.27,.25,.16,.21,.28,.35
